level,x,z
0,1877,4823
0,1877,4824
0,1877,4825
0,1877,4826
0,1878,4823
0,1878,4824
0,1878,4825
0,1878,4826
0,1879,4818
0,1879,4819
0,1879,4820
0,1879,4821
0,1879,4822
0,1879,4823
0,1879,4824
0,1879,4825
0,1879,4826
0,1879,4827
0,1879,4828
0,1879,4829
0,1879,4830
0,1879,4831
0,1880,4819
0,1880,4822
0,1880,4823
0,1880,4824
0,1880,4825
0,1880,4826
0,1880,4827
0,1880,4828
0,1880,4830
0,1881,4822
0,1881,4823
0,1881,4824
0,1881,4825
0,1881,4826
0,1881,4827
0,1881,4828
0,1882,4822
0,1882,4823
0,1882,4824
0,1882,4825
0,1882,4826
0,1882,4827
0,1882,4828
0,1883,4821
0,1883,4822
0,1883,4823
0,1883,4824
0,1883,4825
0,1883,4826
0,1883,4827
0,1883,4828
0,1883,4829
0,1884,4821
0,1884,4822
0,1884,4823
0,1884,4824
0,1884,4825
0,1884,4826
0,1884,4827
0,1884,4828
0,1884,4829
0,1885,4821
0,1885,4822
0,1885,4823
0,1885,4827
0,1885,4828
0,1885,4829
0,1886,4821
0,1886,4822
0,1886,4823
0,1886,4827
0,1886,4828
0,1886,4829
0,1887,4821
0,1887,4822
0,1887,4823
0,1887,4827
0,1887,4828
0,1887,4829
0,1888,4821
0,1888,4822
0,1888,4823
0,1888,4827
0,1888,4828
0,1888,4829
0,1889,4821
0,1889,4822
0,1889,4823
0,1889,4827
0,1889,4828
0,1889,4829
0,1890,4821
0,1890,4822
0,1890,4823
0,1890,4827
0,1890,4828
0,1890,4829
0,1891,4821
0,1891,4822
0,1891,4823
0,1891,4827
0,1891,4828
0,1891,4829
0,1892,4821
0,1892,4822
0,1892,4823
0,1892,4827
0,1892,4828
0,1892,4829
0,1893,4821
0,1893,4822
0,1893,4823
0,1893,4824
0,1893,4825
0,1893,4826
0,1893,4827
0,1893,4828
0,1893,4829
0,1894,4821
0,1894,4822
0,1894,4823
0,1894,4824
0,1894,4825
0,1894,4826
0,1894,4827
0,1894,4828
0,1894,4829
0,1895,4821
0,1895,4822
0,1895,4823
0,1895,4824
0,1895,4825
0,1895,4826
0,1895,4827
0,1895,4828
0,1895,4829
0,1896,4821
0,1896,4822
0,1896,4823
0,1896,4824
0,1896,4825
0,1896,4826
0,1896,4827
